id,created_at,current_mA,flow_rate,doc_number,time,audio_url
10353,2025-04-22 06:16:18.802039+00,7786.25,64.24,10737,2025-04-22 06:16:17.196,
10352,2025-04-22 06:16:07.188416+00,7240,64.12,10736,2025-04-22 06:16:05.596,
10351,2025-04-22 06:15:55.592858+00,7007.5,64.24,10735,2025-04-22 06:15:53.966,
10350,2025-04-22 06:15:43.961445+00,7337.5,63.88,10734,2025-04-22 06:15:42.266,
10349,2025-04-22 06:15:32.267417+00,7916.25,63.88,10733,2025-04-22 06:15:30.656,
10348,2025-04-22 06:15:20.652651+00,7900,64.12,10732,2025-04-22 06:15:19.036,
10347,2025-04-22 06:15:09.036654+00,7707.5,63.88,10731,2025-04-22 06:15:07.466,
10346,2025-04-22 06:14:57.46371+00,7508.75,63.88,10730,2025-04-22 06:14:55.801,
10345,2025-04-22 06:14:45.543294+00,7490,64.12,10729,2025-04-22 06:14:43.386,
10344,2025-04-22 06:14:33.384144+00,7333.75,64,10728,2025-04-22 06:14:31.551,
10343,2025-04-22 06:14:21.505566+00,7902.5,64.12,10727,2025-04-22 06:14:18.806,
10342,2025-04-22 06:14:08.795577+00,7343.75,64.24,10726,2025-04-22 06:14:07.186,
10341,2025-04-22 06:13:57.187496+00,7787.5,64,10725,2025-04-22 06:13:55.486,
10340,2025-04-22 06:13:45.476836+00,7105,64.12,10724,2025-04-22 06:13:43.856,
10339,2025-04-22 06:13:33.849918+00,7495,64.12,10723,2025-04-22 06:13:32.236,
10338,2025-04-22 06:13:22.230326+00,7502.5,63.9,10722,2025-04-22 06:13:20.626,
10337,2025-04-22 06:13:10.627426+00,7345,64.12,10721,2025-04-22 06:13:09.006,
10336,2025-04-22 06:12:58.993691+00,7122.5,64.12,10720,2025-04-22 06:12:57.396,
10335,2025-04-22 06:12:47.314743+00,7710,64,10719,2025-04-22 06:12:45.696,
10334,2025-04-22 06:12:35.680865+00,7700,63.76,10718,2025-04-22 06:12:34.066,
10333,2025-04-22 06:12:24.057463+00,7832.5,64,10717,2025-04-22 06:12:22.466,
